sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 17, 2026 20:38:06

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	        FFs	      SRLs	      ADDs	       LUTs	    COMB4s	      RAMs	 DSP/MULTs
example_top:example_top                                     	  2844(20)	   524(0)	   753(0)	   3790(8)	     0(0)	    46(0)	     0(0)	
 +ddr3_ctl_axi:DdrCtrl                                      	   2173(0)	   522(0)	   486(0)	   2842(0)	     0(0)	    30(0)	     0(0)	
  +u_efx_ddr3_soft_controller:efx_ddr3_soft_controller_dc13612a41d14b64a60c05045f64d9b7	   2173(0)	   522(0)	   486(0)	   2842(0)	     0(0)	    30(0)	     0(0)	
   +genblk1.inst_ddr3_axi:efx_ddr3_axi_dc13612a41d14b64a60c05045f64d9b7	 2173(247)	   522(0)	 486(113)	 2842(502)	     0(0)	    30(0)	     0(0)	
    +inst_arburst_fifo:Ddr_Ctrl_Sc_Fifo_dc13612a41d14b64a60c05045f64d9b7(DATA_WIDTH=8,DATA_DEPTH=32)	      7(7)	     8(8)	   12(12)	    21(21)	     0(0)	     0(0)	     0(0)	
    +u_rd_addr_fifo:Ddr_Ctrl_Sc_Fifo_dc13612a41d14b64a60c05045f64d9b7(DATA_DEPTH=32)	      7(7)	 116(116)	   12(12)	    15(15)	     0(0)	     0(0)	     0(0)	
    +u_wr_addr_fifo:Ddr_Ctrl_Sc_Fifo_dc13612a41d14b64a60c05045f64d9b7(DATA_WIDTH=48,DATA_DEPTH=32)	      7(7)	 156(156)	   12(12)	    57(57)	     0(0)	     0(0)	     0(0)	
    +inst_awid_fifo:Ddr_Ctrl_Sc_Fifo_dc13612a41d14b64a60c05045f64d9b7(DATA_WIDTH=8,DATA_DEPTH=32)	      7(7)	     0(0)	   12(12)	    13(13)	     0(0)	     0(0)	     0(0)	
    +inst_arid_fifo:Ddr_Ctrl_Sc_Fifo_dc13612a41d14b64a60c05045f64d9b7(DATA_WIDTH=8,DATA_DEPTH=32)	      7(7)	     0(0)	   12(12)	    12(12)	     0(0)	     0(0)	     0(0)	
    +inst_respon_fifo:Ddr_Ctrl_Sc_Fifo_dc13612a41d14b64a60c05045f64d9b7(DATA_WIDTH=8,DATA_DEPTH=32)	      7(7)	     0(0)	   12(12)	    55(55)	     0(0)	     0(0)	     0(0)	
    +inst_rd_brust_fifo:Ddr_Ctrl_Sc_Fifo_dc13612a41d14b64a60c05045f64d9b7(DATA_WIDTH=8,DATA_DEPTH=32)	      7(7)	   32(32)	   12(12)	    33(33)	     0(0)	     0(0)	     0(0)	
    +inst_rd_last_fifo:Ddr_Ctrl_Sc_Fifo_dc13612a41d14b64a60c05045f64d9b7(DATA_WIDTH=8,DATA_DEPTH=32)	      7(7)	   32(32)	   12(12)	    33(33)	     0(0)	     0(0)	     0(0)	
    +inst_respon_len_fifo:Ddr_Ctrl_Sc_Fifo_dc13612a41d14b64a60c05045f64d9b7(DATA_WIDTH=8,DATA_DEPTH=32)	      7(7)	   32(32)	   12(12)	    15(15)	     0(0)	     0(0)	     0(0)	
    +inst_efx_ddr3:top_dc13612a41d14b64a60c05045f64d9b7     	 1863(220)	   146(0)	  265(64)	 2086(544)	     0(0)	    30(0)	     0(0)	
     +mux0:native_mux_dc13612a41d14b64a60c05045f64d9b7      	      0(0)	     0(0)	     0(0)	  186(186)	     0(0)	     0(0)	     0(0)	
     +top_mc:controller_top_dc13612a41d14b64a60c05045f64d9b7	  1622(29)	   144(0)	   201(0)	  1343(26)	     0(0)	    30(0)	     0(0)	
      +rst_ctrl0:reset_ctrl_dc13612a41d14b64a60c05045f64d9b7(NUM_RST=4,CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	     16(0)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_dc13612a41d14b64a60c05045f64d9b7(OUT_RST_ACTIVE="LOW",CYCLE=4)	      4(4)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_dc13612a41d14b64a60c05045f64d9b7(OUT_RST_ACTIVE="LOW",CYCLE=4)	      4(4)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[2].genblk1.genblk1.inst_sysclk_rstn:reset_sub_dc13612a41d14b64a60c05045f64d9b7(OUT_RST_ACTIVE="LOW",CYCLE=4)	      4(4)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[3].genblk1.genblk1.inst_sysclk_rstn:reset_sub_dc13612a41d14b64a60c05045f64d9b7(OUT_RST_ACTIVE="LOW",CYCLE=4)	      4(4)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
      +rst_ctrl1:reset_ctrl_dc13612a41d14b64a60c05045f64d9b7(CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	      4(0)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_dc13612a41d14b64a60c05045f64d9b7(OUT_RST_ACTIVE="LOW",CYCLE=4)	      4(4)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
      +fifo_ar:streamfifocc64_dc13612a41d14b64a60c05045f64d9b7(DATA_WIDTH=32)	    54(26)	     0(0)	     8(8)	    50(50)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_dc13612a41d14b64a60c05045f64d9b7	    14(14)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_dc13612a41d14b64a60c05045f64d9b7	    14(14)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
      +fifo_aw:streamfifocc64_dc13612a41d14b64a60c05045f64d9b7(DATA_WIDTH=32)	    54(26)	     0(0)	     8(8)	    50(50)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_dc13612a41d14b64a60c05045f64d9b7	    14(14)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_dc13612a41d14b64a60c05045f64d9b7	    14(14)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
      +fifo_wr:streamfifocc64_dc13612a41d14b64a60c05045f64d9b7(DATA_WIDTH=144)	    54(26)	     0(0)	     8(8)	    50(50)	     0(0)	     8(8)	     0(0)	
       +popToPushGray_buffercc:buffercc_dc13612a41d14b64a60c05045f64d9b7	    14(14)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_dc13612a41d14b64a60c05045f64d9b7	    14(14)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
      +fifo_rdpush:streamfifocc64_dc13612a41d14b64a60c05045f64d9b7(DATA_WIDTH=1)	    54(26)	     0(0)	     8(8)	    44(44)	     0(0)	     0(0)	     0(0)	
       +popToPushGray_buffercc:buffercc_dc13612a41d14b64a60c05045f64d9b7	    14(14)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_dc13612a41d14b64a60c05045f64d9b7	    14(14)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
      +fifo_rd:efx_fifo_top_dc13612a41d14b64a60c05045f64d9b7(FAMILY="TITANIUM",BYPASS_RESET_SYNC=1,MODE="FWFT",DEPTH=64,DATA_WIDTH=128,OUTPUT_REG=1,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=33,PROG_FULL_NEGATE=33,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2)	     71(0)	     0(0)	    27(0)	     47(0)	     0(0)	     7(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_dc13612a41d14b64a60c05045f64d9b7(FAMILY="TITANIUM",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=128,RDATA_WIDTH=128,WADDR_WIDTH=6,RADDR_WIDTH=6,RAM_MUX_RATIO=1)	      0(0)	     0(0)	     0(0)	      0(0)	     0(0)	     7(7)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_dc13612a41d14b64a60c05045f64d9b7(SYNC_CLK=0,MODE="FWFT",WR_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,PROG_FULL_ASSERT=33,PROG_FULL_NEGATE=33,PROG_EMPTY_NEGATE=2,OUTPUT_REG=1,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	    71(43)	     0(0)	   27(27)	    47(23)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_dc13612a41d14b64a60c05045f64d9b7(WIDTH=7)	      0(0)	     0(0)	     0(0)	      6(6)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_addr_sync:efx_asyncreg_dc13612a41d14b64a60c05045f64d9b7(WIDTH=7,ACTIVE_LOW=0,OFF_ASSERTION=1)	    14(14)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_dc13612a41d14b64a60c05045f64d9b7(WIDTH=7)	      0(0)	     0(0)	     0(0)	      6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_dc13612a41d14b64a60c05045f64d9b7(WIDTH=6)	      0(0)	     0(0)	     0(0)	      5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_dc13612a41d14b64a60c05045f64d9b7	      0(0)	     0(0)	     0(0)	      4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_dc13612a41d14b64a60c05045f64d9b7(WIDTH=4)	      0(0)	     0(0)	     0(0)	      3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_dc13612a41d14b64a60c05045f64d9b7(WIDTH=3)	      0(0)	     0(0)	     0(0)	      2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_dc13612a41d14b64a60c05045f64d9b7(WIDTH=2)	      0(0)	     0(0)	     0(0)	      1(1)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_dc13612a41d14b64a60c05045f64d9b7(WIDTH=7)	      0(0)	     0(0)	     0(0)	      6(6)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_addr_sync:efx_asyncreg_dc13612a41d14b64a60c05045f64d9b7(WIDTH=7,ACTIVE_LOW=0,OFF_ASSERTION=1)	    14(14)	     0(0)	     0(0)	      0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_dc13612a41d14b64a60c05045f64d9b7(WIDTH=7)	      0(0)	     0(0)	     0(0)	      6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_dc13612a41d14b64a60c05045f64d9b7(WIDTH=6)	      0(0)	     0(0)	     0(0)	      5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_dc13612a41d14b64a60c05045f64d9b7	      0(0)	     0(0)	     0(0)	      4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_dc13612a41d14b64a60c05045f64d9b7(WIDTH=4)	      0(0)	     0(0)	     0(0)	      3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_dc13612a41d14b64a60c05045f64d9b7(WIDTH=3)	      0(0)	     0(0)	     0(0)	      2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_dc13612a41d14b64a60c05045f64d9b7(WIDTH=2)	      0(0)	     0(0)	     0(0)	      1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_ack:streamfifocc64_dc13612a41d14b64a60c05045f64d9b7(DATA_WIDTH=2)	    54(26)	     0(0)	     0(0)	    43(43)	     0(0)	     1(1)	     0(0)	
